custId,amount,total
C1130515,94.00,1
C1130631,200.00,1
C1130763,1966.00,1
C1130765,625.00,1
C1130830,488.00,1
C1131383,860.00,1
C1131421,2000.00,1
C1131722,140.00,1
C1131820,2000.00,1
C1131826,60.00,1
C1131863,502.00,1
C1132069,354.85,1
C1132125,92.00,1
C1132157,148.00,1
C1132381,599.00,1
C1132392,57.00,1
C1132457,136487.00,1
C1133112,1352.00,1
C1133250,606.90,1
C1133585,816.30,1
C1134044,101.00,1
C1134259,1380.90,1
C1134478,136.95,1
C1134719,2447.00,1
C1134839,20.00,1
C1134891,3790.00,1
C1134911,1000.00,1
C1135166,229.00,1
C1135544,1300.00,1
C1135843,3264.50,1
C1135887,78.00,1
C1136128,486.30,1
C1136526,30.00,1
C1136715,30000.00,1
C1136817,30.00,1
C1136918,225.00,1
C1137081,270.00,1
C1137350,3000.00,1
C1137479,50.00,1
C1137921,1266.00,1
C1138167,405.52,1
C1138360,700.00,1
C1138719,705.42,1
C1138928,50.00,1
C1139376,300.00,1
C1139486,30.00,1
C1139582,70.00,1
C1139891,41.77,1
C1139926,1759.11,1
C1139984,55.00,1
C1140064,300.00,1
C1140086,360.00,1
C1140247,802.75,1
C1140281,400.00,1
C1140327,100.00,1
C1140891,441.45,1
C1141069,640.00,1
C1141092,109.00,1
C1141142,1501.91,1
C1141226,221.78,1
C1141437,270.00,1
C1142050,284.00,1
C1142165,111.00,1
C1142181,2667.00,1
C1142184,361.10,1
C1142512,20.00,1
C1142832,2000.00,1
C1142875,675.00,1
C1145147,300.00,1
C1146227,251.00,1
C1147544,40.00,1
C1147739,681.00,1
C1150870,50.00,1
C1151627,500.00,1
C1160022,500.00,1
C1161984,30.00,1
C1162135,190.00,1
C1164532,50.00,1
C1165682,140.00,1
C1167267,308.00,1
C1169773,700.00,1
C1170135,600.00,1
C1172254,200.00,1
C1174770,50.00,1
C1177026,2760.00,1
C1182331,100.00,1
C1182769,100.00,1
C1183561,3501.63,1
C1184387,1135.00,1
C1189213,3050.00,1
C1193449,848.01,1
C1195214,1927.00,1
C1196456,620.00,1
C1199112,577.00,1
C1199658,2.00,1
C1210044,163.00,1
C1210066,403.40,1
C1210148,30.00,1
C1210262,10000.00,1
C1210266,177.00,1
C1210320,479.00,1
C1210437,1595.00,1
C1210665,306.00,1
C1211057,2.00,1
C1211216,1825.50,1
C1211239,7188.00,1
C1211669,1699.94,1
C1211712,10125.00,1
C1211743,290.00,1
C1212145,500.00,1
C1212155,620.00,1
C1212248,110.00,1
C1212482,185.00,1
C1212538,12926.00,1
C1212582,387.00,1
C1212945,81.00,1
C1212990,500.00,1
C1213047,630.00,1
C1213081,1200.00,1
C1213239,300.00,1
C1213289,200.00,1
C1213418,3085.00,1
C1213447,124.00,1
C1213460,1050.00,1
C1213514,20.00,1
C1213571,25.00,1
C1213611,460.00,1
C1213661,135.00,1
C1213692,175.00,1
C1213917,880.00,1
C1214063,700.00,1
C1214071,50.00,1
C1214162,99.00,1
C1214324,2640.00,1
C1214489,624.00,1
C1214869,300.00,1
C1214934,160.00,1
C1215113,400.00,1
C1215118,8294.00,1
C1215129,10.00,1
C1215157,38.00,1
C1215160,356.00,1
C1215214,311.00,1
C1215453,1220.00,1
C1215479,669.00,1
C1215571,25.00,1
C1215835,56.00,1
C1215858,814.00,1
C1216047,1290.00,1
C1216056,210.00,1
C1216377,28.00,1
C1216380,990.00,1
C1216419,510.00,1
C1216471,400.00,1
C1216544,386.41,1
C1216785,174.00,1
C1217055,524.00,1
C1217121,48.00,1
C1217140,200.00,1
C1217173,990.00,1
C1217241,6254.00,1
C1217269,1135.00,1
C1217574,135.00,1
C1217820,891.50,1
C1218144,400.00,1
C1218682,47.00,1
C1218732,1512.75,1
C1219259,347.00,1
C1219968,402.00,1
C1220080,683.00,1
C1220125,2064.00,1
C1220320,1000.00,1
C1220474,49.00,1
C1220575,796.00,1
C1220724,100.00,1
C1220842,100.00,1
C1221246,2995.00,1
C1221261,300.00,1
C1221883,310.77,1
C1222048,140.00,1
C1222485,1750.00,1
C1222623,2828.00,1
C1222768,330.00,1
C1222959,200.00,1
C1223112,1550.00,1
C1223122,760.00,1
C1223282,700.00,1
C1223388,66.00,1
C1223970,50.00,1
C1224088,500.00,1
C1224339,100.00,1
C1224560,25.00,1
C1225054,120.00,1
C1225447,320.00,1
C1225552,43.94,1
C1225785,300.00,1
C1226026,320.00,1
C1226137,931.00,1
C1226363,250.00,1
C1226490,1410.00,1
C1226730,8000.00,1
C1226765,245.00,1
C1227470,1000.00,1
C1227659,126.00,1
C1227722,369.43,1
C1227733,1000.00,1
C1227971,253.00,1
C1228029,365.00,1
C1228131,518.00,1
C1228217,7739.00,1
C1228218,294.00,1
C1228246,100.00,1
C1228521,939.98,1
C1228611,100.00,1
C1228782,1280.00,1
C1229335,500.00,1
C1229657,30.00,1
C1229676,50.00,1
C1229689,50.00,1
C1230434,235.00,1
C1230834,200.00,1
C1230869,110.00,1
C1231031,1720.00,1
C1231033,412.00,1
C1231253,329.72,1
C1231619,250.00,1
C1231930,1000.00,1
C1231952,450.00,1
C1231978,500.00,1
C1231987,890.00,1
C1232057,809.20,1
C1232175,20.00,1
C1232415,528.00,1
C1232550,1421.00,1
C1232932,20.00,1
C1233941,250.00,1
C1234421,349.62,1
C1234486,1740.00,1
C1234622,30.00,1
C1234772,1044.50,1
C1234773,40000.00,1
C1235055,275.00,1
C1235280,520.00,1
C1235972,30.00,1
C1236017,855.00,1
C1236139,398.00,1
C1236171,86.40,1
C1236182,350.00,1
C1236272,41.00,1
C1236391,38.00,1
C1236446,110.00,1
C1236474,1350.00,1
C1236617,2000.00,1
C1236762,4900.00,1
C1237047,31.00,1
C1237351,171.00,1
C1237443,1000.00,1
C1237491,1000.00,1
C1237769,120.00,1
C1238118,120.00,1
C1238235,241.00,1
C1238275,145.00,1
C1238290,609.00,1
C1238369,255.00,1
C1238383,2695.00,1
C1238483,70.00,1
C1238635,110.00,1
C1238668,200.00,1
C1238669,10.00,1
C1239416,300.00,1
C1239843,760.00,1
C1239865,2800.00,1
C1239923,4110.00,1
C1240025,185.00,1
C1240219,200.00,1
C1240251,998.00,1
C1240343,30.00,1
C1240376,460.00,1
C1240433,420.00,1
C1240640,169.00,1
C1240691,185.68,1
C1240748,3290.00,1
C1240751,271.00,1
C1240824,48.00,1
C1240849,10844.00,1
C1241070,1960.00,1
C1241158,204.00,1
C1241366,50.00,1
C1241615,146.00,1
C1241817,262.76,1
C1241943,2399.32,1
C1242289,2110.00,1
C1242387,160.00,1
C1242388,1425.00,1
C1242419,310.00,1
C1242477,144.00,1
C1242484,200.00,1
C1242812,399.00,1
C1242836,4249.00,1
C1243211,670.00,1
C1245124,500.00,1
C1247164,319.00,1
C1248785,4568.00,1
C1248827,2015.00,1
C1251286,500.00,1
C1257531,1149.00,1
C1257884,20.00,1
C1267468,500.00,1
C1270426,532.54,1
C1271343,1062.50,1
C1271631,50.00,1
C1273864,4000.00,1
C1274933,212.00,1
C1276774,500.00,1
C1283339,185.55,1
C1284488,467.00,1
C1284739,536.59,1
C1287127,250.00,1
C1288959,74.20,1
C1289292,771.00,1
C1290054,420.00,1
C1291157,65.00,1
C1292516,25000.00,1
C1293225,20.00,1
C1293840,82.00,1
C1295858,200.00,1
C1295916,397.01,1
C1298580,67.00,1
C1310132,616.00,1
C1310233,458.63,1
C1310367,160.00,1
C1310388,446.00,1
C1310418,850.00,1
C1310420,450.00,1
C1310760,265.00,1
C1311017,4013.90,1
C1311092,479.00,1
C1311355,2000.00,1
C1311360,111.00,1
C1312229,300.00,1
C1312371,285.00,1
C1312377,174.00,1
C1312515,6256.48,1
C1312584,25.00,1
C1312668,296.00,1
C1312765,380.00,1
C1312841,220.00,1
C1312923,30.00,1
C1313168,110.00,1
C1313373,497.00,1
C1313438,200.00,1
C1313623,50.00,1
C1313685,1899.00,1
C1313820,30.00,1
C1313953,150.00,1
C1314088,600.00,1
C1314542,300.00,1
C1314735,753.00,1
C1314914,100.00,1
C1315037,143.00,1
C1315045,6962.36,1
C1315190,200.00,1
C1315289,300.00,1
C1315336,3418.00,1
C1315473,666.00,1
C1315743,2891.08,1
C1316087,20.00,1
C1316159,1558.00,1
C1316226,67.00,1
C1316339,70.00,1
C1316427,750.00,1
C1316479,2347.01,1
C1316673,30.00,1
C1316762,287.00,1
C1316780,6841.00,1
C1317373,42.00,1
C1317376,281.00,1
C1317469,50.00,1
C1317518,165.00,1
C1317684,82.00,1
C1317687,205.00,1
C1317912,526.00,1
C1318037,100.00,1
C1318160,599.00,1
C1318181,2200.00,1
C1318230,810.00,1
C1318387,918.00,1
C1318827,150.00,1
C1318913,2244.00,1
C1318975,756.00,1
C1319057,930.00,1
C1319152,600.00,1
C1319477,663.09,1
C1319836,549.00,1
C1319918,94.00,1
C1320048,4991.00,1
C1320124,297.00,1
C1320130,200.00,1
C1320283,2490.00,1
C1320476,250.00,1
C1320581,2130.00,1
C1320717,200.00,1
C1320787,2990.96,1
C1321021,1506.00,1
C1321026,10104.00,1
C1321229,200.00,1
C1321413,164.00,1
C1321637,1000.00,1
C1321753,999.00,1
C1321833,768.00,1
C1322157,895.00,1
C1322286,1188.00,1
C1322586,300.00,1
C1322714,2975.00,1
C1322868,198.00,1
C1322885,3000.00,1
C1323032,298.95,1
C1323142,38.00,1
C1323513,150.00,1
C1323739,28.00,1
C1323774,30.00,1
C1323784,1168.00,1
C1323927,60.00,1
C1323978,2209.00,1
C1324178,1000.00,1
C1324461,10.00,1
C1324638,28.00,1
C1324969,408.00,1
C1325045,1138.00,1
C1325089,114.90,1
C1325127,362.00,1
C1325412,44.00,1
C1325524,80.00,1
C1326055,120.00,1
C1326142,1568.00,1
C1326359,3.00,1
C1326486,212.00,1
C1326887,250.00,1
C1326990,500.00,1
C1327149,674.68,1
C1327220,200.00,1
C1327371,25000.00,1
C1327459,675.00,1
C1327543,107.00,1
C1327565,22.00,1
C1328053,2197.39,1
C1328058,305.00,1
C1328256,2936.00,1
C1328380,575.00,1
C1328430,299.00,1
C1328662,2908.76,1
C1329014,1018.60,1
C1329015,248.00,1
C1329029,2753.00,1
C1329075,672.00,1
C1329348,2851.00,1
C1329362,190.00,1
C1329485,1896.00,1
C1329536,1269.00,1
C1329545,1262.65,1
C1329555,300.00,1
C1329673,295.00,1
C1329725,100.00,1
C1329837,204.00,1
C1330056,904.00,1
C1330083,100.00,1
C1330148,200.00,1
C1330186,200.00,1
C1330331,973.00,1
C1330688,50.00,1
C1330861,444.00,1
C1330977,588.00,1
C1331031,1038.00,1
C1331269,232.00,1
C1331385,200.00,1
C1331421,1000.00,1
C1331641,1161.00,1
C1331678,730.00,1
C1331866,249.00,1
C1332052,100.00,1
C1332219,334.00,1
C1332346,69.00,1
C1332888,295.00,1
C1332949,100.00,1
C1333215,776.74,1
C1333324,1592.00,1
C1333358,220.00,1
C1333521,100.00,1
C1333589,15.00,1
C1333768,179.00,1
C1333781,930.00,1
C1334112,1320.00,1
C1334633,444.00,1
C1334661,1711.00,1
C1334882,500.00,1
C1335012,1971.00,1
C1335821,521.00,1
C1335840,1000.00,1
C1335879,800.00,1
C1335888,250.00,1
C1335924,339.00,1
C1336646,57.00,1
C1336922,50.00,1
C1337255,2000.00,1
C1337362,16.50,1
C1337518,198.00,1
C1337861,100.00,1
C1337975,283.60,1
C1338032,205.92,1
C1338826,10.00,1
C1339067,135.00,1
C1339070,291.92,1
C1339218,5645.00,1
C1339266,1450.00,1
C1340068,34.00,1
C1340282,9824.00,1
C1340672,278.00,1
C1340759,60.00,1
C1341186,1050.00,2
C1341250,3319.00,1
C1342050,1300.00,1
C1342075,215.00,1
C1342086,197.00,1
C1342166,550.00,1
C1342246,500.00,1
C1342277,389.15,1
C1342427,117.92,1
C1342657,1047.00,1
C1342761,50.00,1
C1342786,1000.00,1
C1342880,360.00,1
C1342918,100.00,1
C1342968,2000.00,1
C1343585,225.00,1
C1344233,1285.73,1
C1346433,122.00,1
C1346478,120.00,1
C1347089,102.00,1
C1348042,1721.00,1
C1348688,40.00,1
C1354575,409.00,1
C1356057,40.00,1
C1356128,1594.64,1
C1356985,100.00,1
C1359341,1000.00,1
C1360685,307.00,1
C1360945,605.00,1
C1361168,669.00,1
C1364755,20500.00,1
C1367870,20000.00,1
C1368118,266.00,1
C1370062,100.00,1
C1371533,1500.00,1
C1371844,948.00,1
C1372670,10.00,1
C1373767,50.00,1
C1374161,220.00,1
C1375023,20.00,1
C1375547,255.00,1
C1379783,327.00,1
C1380660,197.00,1
C1382537,4798.00,1
C1382813,398.00,1
C1383485,1000.00,1
C1390391,70.00,1
C1390882,869.00,1
C1391323,2794.00,1
C1392322,1200.00,1
C1393221,1450.00,1
C1393937,1.00,1
C1393961,2202.51,1
C1394220,245.00,1
C1394536,1300.00,1
C1394830,2000.00,1
C1397028,506.54,1
C1410280,270.00,1
C1410460,1000.00,1
C1410470,4981.00,1
C1410484,300.00,1
C1410585,250.00,1
C1410652,1118.76,1
C1410877,156.00,1
C1411057,445.00,1
C1411219,300.00,1
C1411267,1269.00,1
C1411722,3000.00,1
C1411983,50.00,1
C1411992,280.00,1
C1412061,190.14,1
C1412843,1900.00,1
C1413036,167.00,1
C1413165,50.00,1
C1413166,24783.00,1
C1413172,5.75,1
C1413231,1100.00,1
C1413323,500.00,1
C1413349,4112.00,1
C1413356,1540.00,1
C1413377,1856.50,1
C1413717,240.00,1
C1414645,30.00,1
C1414653,390.00,1
C1414689,350.00,1
C1415287,1850.00,1
C1415327,37.00,1
C1415424,610.00,1
C1415485,299.00,1
C1415492,1200.00,1
C1415528,1187.84,1
C1415742,2100.00,1
C1415944,632.00,1
C1416052,500.00,1
C1416339,10150.00,1
C1416483,960.00,1
C1416560,610.00,1
C1416583,297.00,1
C1416713,1590.00,1
C1416939,800.00,1
C1417326,262.00,1
C1417612,20.00,1
C1417671,2750.00,1
C1417673,296.00,1
C1417848,386.00,1
C1418022,261.00,1
C1418032,514.00,1
C1418267,402.00,1
C1418775,400.00,1
C1419316,519.00,1
C1419337,108.00,1
C1419342,1839.00,1
C1419418,10.00,1
C1419443,303.00,1
C1419446,3899.00,1
C1419490,207.90,1
C1419576,374.00,1
C1419633,200.00,1
C1420025,3439.00,1
C1420419,1671.00,1
C1420629,173.00,1
C1421272,1000.00,1
C1421571,1284.00,1
C1421591,645.00,1
C1421631,1217.39,1
C1421653,258.00,1
C1422115,8848.00,1
C1422263,1000.00,1
C1422753,794.71,1
C1423052,200.00,1
C1423116,1200.00,1
C1423165,100.00,1
C1423332,50.00,1
C1423562,6700.00,1
C1423578,3650.00,1
C1423964,46.00,1
C1424076,150.00,1
C1424624,10.00,1
C1424818,200.00,1
C1424865,1080.00,1
C1424989,999.00,1
C1425227,227.44,1
C1425362,292.00,1
C1425631,28065.00,1
C1425633,111.00,1
C1425634,500.00,1
C1425638,250.00,1
C1425720,1598.00,1
C1425724,415.00,1
C1425843,20.00,1
C1426018,250.00,1
C1426039,2140.00,1
C1426358,100.00,1
C1426683,505.00,1
C1426714,600.00,1
C1426956,299.00,1
C1427316,573.21,1
C1427957,399.00,1
C1428019,60.00,1
C1428136,400.00,1
C1428470,170.00,1
C1428542,504.31,1
C1428584,208.00,1
C1429142,100.00,1
C1429231,1500.00,1
C1429237,257.00,1
C1429533,207.00,1
C1429631,599.00,1
C1429781,249.00,1
C1430277,1277.00,1
C1430358,135.00,1
C1430359,595.00,1
C1430473,410.00,1
C1430656,220.00,1
C1430749,650.00,1
C1430979,351.00,1
C1431215,800.00,1
C1431359,10.00,1
C1431618,1.00,1
C1431864,1106.00,1
C1432117,50.00,1
C1432414,136487.00,1
C1432476,220.00,1
C1432662,1049.08,1
C1432811,360.00,1
C1433313,3458.32,1
C1433690,27.00,1
C1433733,1000.00,1
C1433734,613.00,1
C1433836,400.00,1
C1433921,50.00,1
C1434057,100.00,1
C1434270,3640.52,1
C1434716,2500.00,1
C1434815,200.00,1
C1435023,4465.00,1
C1435053,1.00,1
C1435076,395.00,1
C1435232,110.00,1
C1435279,120.00,1
C1435627,280.00,1
C1435758,10.00,1
C1436139,529.00,1
C1436220,424.00,1
C1436380,900.00,1
C1436391,230.00,1
C1436619,2834.65,1
C1436661,200.00,1
C1436925,1500.00,1
C1437019,909.76,1
C1437192,2550.00,1
C1437334,1000.00,1
C1437722,600.00,1
C1438280,34.00,1
C1438577,174.00,1
C1438879,90.00,1
C1438887,5394.00,1
C1439221,100.00,1
C1439458,2645.00,1
C1439616,513.00,1
C1439841,25.00,1
C1439926,840.00,1
C1440119,108.00,1
C1440162,30.00,1
C1440379,2391.77,1
C1440387,600.00,1
C1440418,340.00,1
C1440541,500.00,1
C1440572,71.00,1
C1440684,1208.60,1
C1440717,2862.00,1
C1440733,110.00,1
C1440781,1000.00,1
C1440962,931.00,1
C1441182,1490.00,1
C1441555,6695.00,1
C1441964,100.00,1
C1442045,653.00,1
C1442114,21.00,1
C1442277,150.00,1
C1442288,2331.10,1
C1442336,329.00,2
C1442415,360.00,1
C1442484,13500.00,1
C1442567,20310.10,1
C1442747,60.00,1
C1442760,250.00,1
C1442837,638.00,1
C1442924,900.00,1
C1446331,11999.00,1
C1449543,599.00,1
C1450578,300.00,1
C1452341,1768.00,1
C1452918,224.00,1
C1455242,1488.00,1
C1455654,443.00,1
C1455946,760.00,1
C1456182,50.00,1
C1457270,231.00,1
C1457576,6.00,1
C1459034,245.00,1
C1460333,243.00,1
C1462336,978.00,1
C1463277,1000.00,1
C1463652,3594.00,1
C1467257,349.00,1
C1467540,1824.00,1
C1468787,147.00,1
C1473385,20.00,1
C1474664,1362.00,1
C1477026,382.00,1
C1478858,149.00,1
C1479826,7800.00,1
C1482319,6595.00,1
C1482627,200.00,1
C1485323,135.00,1
C1485640,6345.00,1
C1487671,1122.00,1
C1488057,2099.00,1
C1488449,146.83,1
C1489738,600.00,1
C1490160,999.00,1
C1492959,59.00,1
C1493860,1346.48,1
C1494820,1499.00,1
C1498751,8695.00,1
C1499851,6680.00,1
